std,diff,peakIndex,maxPeak,minPeak,cluster
1.8237569615958448e-05,3.01865e-05,1814,4.3548e-05,-3.8635e-05,1
1.1876905730551951e-05,1.05115e-05,2837,2.7382e-05,-1.957e-05,0
1.896685258117682e-05,3.4019e-05,3542,3.7373e-05,-4.9824e-05,1
2.174279377953561e-05,2.9776e-05,4385,3.5827e-05,-6.0837e-05,1
2.1239741569977694e-05,3.41184e-05,4414,3.2123e-05,-6.0837e-05,1
1.0293418260021959e-05,2.7811999999999997e-05,5657,3.1216e-05,-2.8568e-05,2
1.7235565237381474e-05,3.3486e-05,6520,3.9009e-05,-4.3603e-05,1
1.0480244176270284e-05,1.48554e-05,9083,3.0603e-05,-1.9161e-05,0
2.0295043304814393e-05,3.1204430000000004e-05,9866,5.1249e-05,-3.6005e-05,1
1.49214329821516e-05,2.46005e-05,10978,2.8041e-05,-3.8639e-05,2
1.107730034903918e-05,1.75981e-05,15163,2.7485e-05,-2.47e-05,0
1.277505946037977e-05,1.52426e-05,16913,2.8871e-05,-2.509e-05,0
1.9791287876944726e-05,4.4728e-05,16971,5.7159e-05,-5.2917e-05,1
1.7323652529934248e-05,3.5823e-05,21673,4.2335e-05,-4.2586e-05,1
9.406188635617768e-06,1.5864899999999998e-05,21970,2.7268e-05,-2.1597e-05,0
1.5233846462338115e-05,2.3584e-05,24081,2.8021e-05,-3.8235e-05,2
9.781841033555387e-06,1.5873500000000003e-05,24563,2.8127e-05,-2.2585e-05,0
8.783355041759503e-06,1.2425e-05,28204,2.6748e-05,-1.6801e-05,0
7.610045260382755e-06,1.4270045e-05,29039,2.7709e-05,-9.515e-06,0
9.594461904328293e-06,1.3017100000000001e-05,29892,2.8827e-05,-1.6335e-05,0
1.2353057176458031e-05,1.94471e-05,30971,3.4368e-05,-2.2046e-05,2
1.7514450707515775e-05,3.1117e-05,34572,3.6369e-05,-4.3697e-05,1
1.1322786311024551e-05,1.54362e-05,35896,3.04e-05,-2.1198e-05,0
1.7779245547446722e-05,1.4837e-05,38627,3.0332e-05,-4.0137e-05,0
1.0459977861931432e-05,1.16278e-05,38726,2.7124e-05,-1.6098e-05,0
8.331482661164127e-06,1.1629e-05,41073,2.6772e-05,-1.4802e-05,0
1.3188699122599832e-05,1.2022399999999999e-05,41676,2.8011e-05,-2.3075e-05,0
1.711591961636694e-05,3.01752e-05,42319,4.3011e-05,-3.7667e-05,1
1.0113945392162519e-05,9.032400000000002e-06,44444,2.6834e-05,-1.2434e-05,0
1.742048734114464e-05,3.2321000000000004e-05,45258,4.6479e-05,-3.8598e-05,1
1.0189489888159439e-05,1.45524e-05,46416,2.7899e-05,-1.2437e-05,0
1.009591299439922e-05,1.0237e-05,50925,2.6756e-05,-1.5157e-05,0
1.7384613864751116e-05,2.73437e-05,51324,4.2408e-05,-3.3379e-05,1
1.479260034117518e-05,1.1540700000000001e-05,54626,3.2185e-05,-2.8211e-05,0
1.068384771867573e-05,1.5191e-05,55008,3.0621e-05,-1.9509e-05,0
1.824531058367388e-05,2.84499e-05,59614,4.2808e-05,-3.0903e-05,1
1.0490942711415401e-05,1.84018e-05,61763,2.9406e-05,-2.291e-05,0
1.3639121060863968e-05,1.61956e-05,62930,2.8468e-05,-3.2059e-05,0
1.5510669390378413e-05,2.33252e-05,64075,2.8796e-05,-3.129e-05,2
9.51948214261615e-06,1.81008e-05,64647,2.7872e-05,-2.8003e-05,0
1.6528119458765598e-05,3.9461e-05,69173,3.985e-05,-5.2133e-05,1
1.0409151096478409e-05,2.01723e-05,70228,2.7442e-05,-2.306e-05,2
1.805683481302068e-05,3.21936e-05,70316,4.7786e-05,-4.2709e-05,1
1.1923197392308378e-05,2.04349e-05,70630,3.1343e-05,-2.341e-05,2
1.692840367340469e-05,3.285272e-05,72881,4.064e-05,-4.7576e-05,1
1.4807364848753627e-05,1.67361e-05,76597,2.8227e-05,-3.8332e-05,0
1.4591582667429684e-05,1.0115799999999999e-05,76633,3.0051e-05,-2.2415e-05,0
1.730767775824885e-05,4.0289999999999995e-05,77147,3.6638e-05,-5.6693e-05,1
1.5946711722500264e-05,2.29594e-05,78705,2.8315e-05,-3.5557e-05,2
1.6835079799304562e-05,3.0613e-05,79322,3.7168e-05,-4.066e-05,1
1.223814493922412e-05,2.54586e-05,80187,2.885e-05,-3.428e-05,2
1.9270300595238788e-05,3.04443e-05,82542,5.1021e-05,-2.7587e-05,1
1.2776648952283354e-05,1.75137e-05,84119,3.1897e-05,-1.8753e-05,0
1.979009402214453e-05,3.41374e-05,84987,3.6548e-05,-5.8535e-05,1
1.580746533231844e-05,1.63393e-05,90300,2.8316e-05,-3.2318e-05,2
1.3940583246291774e-05,2.48888e-05,93133,2.8693e-05,-3.3124e-05,2
1.0096656546169988e-05,1.6998600000000004e-05,94812,2.7617e-05,-2.8206e-05,0
1.6839348922433114e-05,2.8088e-05,99840,4.7636e-05,-2.947e-05,1
1.3913463368352347e-05,1.59699e-05,100273,2.6957e-05,-2.7016e-05,0
1.4726485205162858e-05,1.757582e-05,101609,3.2482e-05,-2.367e-05,2
1.95234546994651e-05,3.13214e-05,102187,4.8557e-05,-3.1288e-05,1
9.924635831129867e-06,1.62011e-05,104436,2.9295e-05,-1.4043e-05,0
1.2354502190796793e-05,1.1171000000000002e-05,104810,3.0056e-05,-2.1714e-05,0
1.3586186133480458e-05,1.6773e-05,107357,3.4286e-05,-3.2903e-05,0
1.7607798621963058e-05,2.6462e-05,110666,3.2761e-05,-3.0767e-05,2
1.113201600644894e-05,1.69661e-05,111925,2.7514e-05,-1.6069e-05,0
1.0455585234934442e-05,1.38276e-05,112481,3.0893e-05,-1.6105e-05,0
9.140590320072214e-06,1.3020300000000001e-05,112771,2.6735e-05,-2.1997e-05,0
9.472126767909438e-06,1.68142e-05,116418,2.9621e-05,-1.3201e-05,0
1.7617867166460777e-05,3.3088999999999994e-05,116919,3.3232e-05,-5.932e-05,1
1.8668752517103113e-05,3.5047000000000005e-05,118031,5.3112e-05,-3.5094e-05,1
1.9633134852801428e-05,2.67103e-05,118070,4.4473e-05,-3.3871e-05,1
1.421127911873384e-05,1.5670099999999998e-05,118114,2.8804e-05,-3.3871e-05,0
1.2545579758557884e-05,1.0626e-05,121099,2.7694e-05,-2.5262e-05,0
1.3973644186197039e-05,2.3278e-05,121482,3.287e-05,-2.7767e-05,2
1.7752013339721104e-05,2.80596e-05,124649,3.1322e-05,-3.505e-05,1
9.30031017209585e-06,1.67158e-05,126431,2.7695e-05,-1.4664e-05,0
1.4914852498165091e-05,1.40192e-05,131525,3.1733e-05,-1.9341e-05,0
1.6623082151257907e-05,3.0865e-05,132452,4.367e-05,-3.5814e-05,1
1.493879608871687e-05,1.36529e-05,134332,3.0424e-05,-3.0873e-05,0
1.1664880954962678e-05,1.5092e-05,137250,2.8348e-05,-2.012e-05,0
8.223625498593085e-06,1.2226900000000001e-05,138524,2.7338e-05,-1.3532e-05,0
1.529678735019056e-05,2.15598e-05,139528,2.8953e-05,-3.1599e-05,2
9.141632274074393e-06,1.18422e-05,140456,2.6763e-05,-1.3359e-05,0
1.6895588369978213e-05,3.63815e-05,143819,4.0695e-05,-5.117e-05,1
1.6268322898760106e-05,1.4105e-05,145131,3.702e-05,-3.2261e-05,0
8.094648925767253e-06,1.67619e-05,145786,2.7639e-05,-1.2842e-05,0
1.435066016555285e-05,3.607e-05,146121,4.638e-05,-3.6389e-05,1
1.6799913544897834e-05,3.6030999999999994e-05,146970,4.5779e-05,-3.9724e-05,1
1.0173453294634178e-05,2.11419e-05,147759,2.9947e-05,-1.642e-05,2
1.7454998176081015e-05,3.10046e-05,147907,3.9181e-05,-4.2485e-05,1
1.091990661644854e-05,1.08943e-05,148602,2.7944e-05,-1.6865e-05,0
1.371567818384021e-05,1.65366e-05,148944,3.1275e-05,-2.4646e-05,0
1.3456861926672694e-05,1.0602100000000001e-05,149066,3.4717e-05,-1.8278e-05,0
1.1609114979570104e-05,2.134206e-05,149782,3.0767e-05,-2.9385e-05,2
1.3447365854263651e-05,1.4672599999999999e-05,150226,2.6747e-05,-2.4068e-05,0
1.7530029982373084e-05,2.39291e-05,150340,3.2637e-05,-3.9875e-05,2
1.1170999879620779e-05,1.5061599999999998e-05,151587,2.7623e-05,-2.4993e-05,0
9.840765518337555e-06,1.6934199999999998e-05,158221,2.7569e-05,-1.754e-05,0
1.6032601322468942e-05,3.6094e-05,160642,3.6969e-05,-4.8331e-05,1
1.010686068275976e-05,1.2721999999999998e-05,161782,3.1947e-05,-1.5062e-05,0
1.0292626363904534e-05,1.23346e-05,167199,2.8811e-05,-1.4616e-05,0
1.6862005527252686e-05,1.1969000000000002e-05,173306,3.197e-05,-3.5876e-05,0
1.3510024425796597e-05,1.3318300000000001e-05,175027,2.7571e-05,-1.891e-05,0
